name,Z,A,molarmass(g/mol),density(g/cm^3),Spontaneoushalf-life(yrs)
O,8,16,15.999,1.0,inf
Th,90,232,232.038,11.7,1E21
U,92,232,232.037,18.95,8E13
U,92,233,233.039,18.95,1.2E17
U,92,234,234.040,18.95,2.1E16
U,92,235,235.044,18.95,9.8E18
U,92,236,236.045,18.95,1.95E16
U,92,238,238.051,18.95,8.2E15
Np,93,237,237.048,20.45,1E18
Pu,94,236,236.046,19.86,3.5E9
Pu,94,238,238.049,19.86,4.77E10
Pu,94,239,239.052,19.86,5.48E15
Pu,94,240,240.054,19.86,1.16E11
Pu,94,241,241.057,19.86,2.5E15
Pu,94,242,242.059,19.86,6.84E10
Am,95,241,241.056,13.67,1.05E14
Cm,96,242,242.058,13.51,6.56E6
Cm,96,244,244.062,13.51,1.35E7
Cm,96,246,246.063,13.51,1.81E8
Cm,96,248,248.065,13.51,4.22E6
Bk,97,249,249.068,14.78,1.80E9
Cf,98,246,246.062,15.1,16.30E3
Cf,98,250,250.067,15.1,16.35E3
Cf,98,252,252.083,15.1,85.5
Cf,98,254,254.087,15.1,0.15
Fm,100,257,257.095,9.71,0.27
No,102,252,252.083,9.94,8.15E-8